Lane: 3
Distance: 62.91136198234517
Speed 0: 33.604519466262914
Speed 1: 34.09388845831578
Speed 2: 35.21433505791651
Speed 3: 36.14811405299149
Speed 4: 35.65947511305328
Speed 5: 36.13451932181608
Speed 6: 36.05884071766723
Speed 7: 36.00723129177045
Speed 8: 36.212530542739636
Speed 9: 36.284552328320075
Speed 10: 37.01168908180156
Speed 11: 37.39220794437506
Speed 12: 37.453045452621474
Speed 13: 37.67497706899419
Speed 14: 37.84181423268132
Speed 15: 38.588853769260126
Speed 16: 38.48627463737723
Speed 17: 38.64280848820268
Speed 18: 38.21576061855182
Speed 19: 36.93926571063478
Speed 20: 37.26607500835496
Speed 21: 37.698293107784714
Speed 22: 37.32721059758149
Speed 23: 38.462087909575295
Speed 24: 37.734905072275915
Speed 25: 37.75778433092664
Speed 26: 37.664192405913724
Speed 27: 38.43058201309295
Speed 28: 39.16526139804309
Speed 29: 39.24273511089155
Speed 30: 39.43181637069264
Speed 31: 38.98792349687758
Speed 32: 37.99752526276561
Speed 33: 37.82356918810254
Speed 34: 37.901743672654526
Speed 35: 38.516889013018385
Speed 36: 39.118078937410594
Speed 37: 38.92441552870662
Speed 38: 38.77326415341895
Speed 39: 38.248987670885406
Speed 40: 37.53897870229592
Speed 41: 36.68584360698341
Speed 42: 37.661231304599305
Speed 43: 37.40640521372348
Speed 44: 37.18736806291789
Speed 45: 36.560970382892926
Speed 46: 36.94971556080888
Speed 47: 36.14276663702991
Speed 48: 36.036396496922926
Speed 49: 35.58866321632609
Speed 50: 35.782114465255724
Speed 51: 35.52671189647129
Speed 52: 34.93639580441008
Speed 53: 34.92230469024076
Speed 54: 35.136470625505964
Speed 55: 35.16972923669755
Speed 56: 35.32096518556744
Speed 57: 35.003804138726956
Speed 58: 34.82243355573339
Speed 59: 34.48620333184542
Speed 60: 34.30642675107514
Speed 61: 33.899853610052915
Speed 62: 33.036712308887076
Speed 63: 33.12542538001395
Speed 64: 32.92453491190982
Speed 65: 32.1094357384268
Speed 66: 32.34082686618969
Speed 67: 31.887177683998065
Speed 68: 31.913150381896134
Speed 69: 32.277695662984904
Speed 70: 32.34218711836361
Speed 71: 32.91188746063526
Speed 72: 32.29447455045844
Speed 73: 32.49564537104721
Speed 74: 32.15324032557705
Speed 75: 31.71784175098611
Speed 76: 31.428416918603904
Speed 77: 31.27264065254022
Speed 78: 31.30072332365509
Speed 79: 30.718148403263413
Speed 80: 31.168561646740507
Speed 81: 31.401392866605736
Speed 82: 30.633271023467124
Speed 83: 31.377397120364925
Speed 84: 32.325341708380215
Speed 85: 32.91473149396004
Speed 86: 32.82476907605386
Speed 87: 32.289392765298594
Speed 88: 32.81661862876416
Speed 89: 32.61503015527757
Speed 90: 33.22625269046878
Speed 91: 33.33039017950721
Speed 92: 33.81870969774907
Speed 93: 33.99689289633627
Speed 94: 34.350179480432246
Speed 95: 34.35542949079266
Speed 96: 35.248364737745575
Speed 97: 35.311820784097385
Speed 98: 35.512815465819735
Speed 99: 36.45439081434786
Speed 100: 35.78051128377664
Speed 101: 35.145268784533776
Speed 102: 35.629967138612784
Speed 103: 35.04340543605571
Speed 104: 36.01521602888035
Speed 105: 35.80840653850048
Speed 106: 35.4346791327801
Speed 107: 36.39615014602029
Speed 108: 37.136407541737505
Speed 109: 38.07018702195079
Speed 110: 38.52320935108848
Speed 111: 38.09259650856113
Speed 112: 39.04762898511065
Speed 113: 38.91362729963496
Speed 114: 39.31485549753316
Speed 115: 39.788481481420035
Speed 116: 39.71097643487462
Speed 117: 40.018016120047655
Speed 118: 40.47911945583092
Speed 119: 40.667332221408735
Speed 120: 40.117631826116636
Speed 121: 40.26675091321967
Speed 122: 40.92994386156318
Speed 123: 40.5826599316975
Speed 124: 40.507842661533665
Speed 125: 40.290265885672845
Speed 126: 41.21489774991252
Speed 127: 41.551045128418735
Speed 128: 41.75477604653929
Speed 129: 41.36981800931663
Speed 130: 41.63944260496254
Speed 131: 41.302276274633854
Speed 132: 41.31819155377103
Speed 133: 41.00026851458159
Speed 134: 41.338485162054845
Speed 135: 41.626780570362314
Speed 136: 41.522631192573314
Speed 137: 41.72063454890414
Speed 138: 41.17410379453889
Speed 139: 40.42847499818608
Speed 140: 40.64817084881835
Speed 141: 40.73150759650462
Speed 142: 41.049023314950674
Speed 143: 42.24059570238264
Speed 144: 42.71283544587785
Speed 145: 42.25642433315577
Speed 146: 42.8149324772037
Speed 147: 42.156978771947934
Speed 148: 41.92618646954058
Speed 149: 41.89206566687827
Speed 150: 42.74873702770295
Speed 151: 42.376359616678734
Speed 152: 41.963140347349224
Speed 153: 41.91391408513651
Speed 154: 41.58217494195546
Speed 155: 42.14549290300871
Speed 156: 41.605527148826994
Speed 157: 41.03179282262144
Speed 158: 40.81288280024923
Speed 159: 40.563866574903074
Speed 160: 41.528632601811566
Speed 161: 42.003343005274445
Speed 162: 42.04711862596704
Speed 163: 41.434400866551954
Speed 164: 41.856582354752724
Speed 165: 41.35647468105794
Speed 166: 40.584089132669135
Speed 167: 41.17810402884528
Speed 168: 41.336575334807705
Speed 169: 41.797004746698114
Speed 170: 41.95636857316963
Speed 171: 42.384783879120974
Speed 172: 42.0592710824709
Speed 173: 41.54214966157867
Speed 174: 41.88294692071948
Speed 175: 41.48124208863256
Speed 176: 41.13646719975746
Speed 177: 40.90870094799879
Speed 178: 40.91744052751132
Speed 179: 40.740443571884576
Speed 180: 40.052967925175565
Speed 181: 39.73115872375912
Speed 182: 38.61945714764691
Speed 183: 38.93207287316051
Speed 184: 38.131044045357136
Speed 185: 37.57885237564291
Speed 186: 37.6049349152734
Speed 187: 37.23515341707774
Speed 188: 38.006660714781106
Speed 189: 37.36023225991938
Speed 190: 37.49375769459397
Speed 191: 37.47411628548022
Speed 192: 36.89006953660962
Speed 193: 37.1517078668755
Speed 194: 37.065934701264375
Speed 195: 37.45182997687121
Speed 196: 37.86358205385307
Speed 197: 38.94520002849342
Speed 198: 39.61346400321161
Speed 199: 39.42887308424039
Speed 200: 39.30918349545242
Speed 201: 39.85901329339598
Speed 202: 40.18664515875728
Speed 203: 40.506710921806075
Speed 204: 39.698232899650655
Speed 205: 39.686069837451186
Speed 206: 39.31705438284834
Speed 207: 39.45701668236996
Speed 208: 39.407941487548484
Speed 209: 39.86303094159478
Speed 210: 40.02164004919043
Speed 211: 40.414804030244916
Speed 212: 40.18159448187694
Speed 213: 39.70937135391782
Speed 214: 39.50434650731654
Speed 215: 39.49583630038582
Speed 216: 39.68541216816336
Speed 217: 40.815066643508786
Speed 218: 40.79393806767846
Speed 219: 40.31596556743207
Speed 220: 40.14297467958238
Speed 221: 39.91117669225933
Speed 222: 40.15191742914606
Speed 223: 39.38151892192375
Speed 224: 39.413149919023915
Speed 225: 39.4914031880066
Speed 226: 39.60749370610674
Speed 227: 39.30883567162405
Speed 228: 39.18987480675605
Speed 229: 38.47784435226479
Speed 230: 38.231184410583694
Speed 231: 37.95975367257534
Speed 232: 38.167778695706055
Speed 233: 37.589687479795096
Speed 234: 37.98028653065009
Speed 235: 38.727528802895776
Speed 236: 37.69253629038901
Speed 237: 37.90566565577806
Speed 238: 38.244119673293184
Speed 239: 37.92540116051707
Speed 240: 37.72676525335267
Speed 241: 37.66032496455919
Speed 242: 37.51142952485832
Speed 243: 37.35692304033476
Speed 244: 36.51892113716978
Speed 245: 37.09508691956134
Speed 246: 37.63489621557975
Speed 247: 37.22821408597765
Speed 248: 36.49500192207639
Speed 249: 36.75553436030277
Speed 250: 36.467640375396236
Speed 251: 36.538616957056625
Speed 252: 36.378952748484075
Speed 253: 36.724722124019166
Speed 254: 37.07209669584717
Speed 255: 36.70929800661538
Speed 256: 36.01761602891785
Speed 257: 35.22614683025031
Speed 258: 35.53133651980391
Speed 259: 34.93690689091189
Speed 260: 34.683498713762546
Speed 261: 34.38534169453729
Speed 262: 34.35905804640252
Speed 263: 33.39091814347926
Speed 264: 33.485307441876174
Speed 265: 33.74725295379328
Speed 266: 33.79146399731561
Speed 267: 33.636020911466375
Speed 268: 33.68472099460077
Speed 269: 33.88424416742083
Speed 270: 32.49794778920751
Speed 271: 33.47590394333285
Speed 272: 33.67095060467682
Speed 273: 33.344746313483306
Speed 274: 33.1492696258895
Speed 275: 33.396140514564095
Speed 276: 33.338088545046915
Speed 277: 32.322746311156166
Speed 278: 33.35499274183583
Speed 279: 33.29972241321959
Speed 280: 33.80980876907749
Speed 281: 33.4637838451853
Speed 282: 34.2319723723082
Speed 283: 34.375144216754336
Speed 284: 34.67956613399206
Speed 285: 34.156939450918586
Speed 286: 34.76251209575994
Speed 287: 35.10742117802733
Speed 288: 35.75834429280983
Speed 289: 35.44430051298904
Speed 290: 35.203786953758645
Speed 291: 36.35574530260062
Speed 292: 35.82573739123984
Speed 293: 35.75776254090068
Speed 294: 36.32620822220203
Speed 295: 36.375070706059454
