Lane: 3
Distance: -22.005493584550166
Speed 0: 35.46154220732853
Speed 1: 35.907779150994294
Speed 2: 35.69662173893166
Speed 3: 35.7489787536483
Speed 4: 35.863005416210335
Speed 5: 35.963745389562554
Speed 6: 36.23413218221275
Speed 7: 35.32509336702096
Speed 8: 35.30043133194717
Speed 9: 35.41994813257055
Speed 10: 34.9197829580937
Speed 11: 35.756775811599056
Speed 12: 35.837555445218136
Speed 13: 36.6192578177326
Speed 14: 36.22399630681606
Speed 15: 35.7703462460534
Speed 16: 35.88247235653624
Speed 17: 35.043128175121915
Speed 18: 35.15061097043496
Speed 19: 35.19922058643642
Speed 20: 35.70705322720747
Speed 21: 36.057573897790014
Speed 22: 35.8488352228475
Speed 23: 35.30008689546238
Speed 24: 36.15623950613403
Speed 25: 35.760181995851454
Speed 26: 35.23741971731672
Speed 27: 34.694991687586
Speed 28: 35.25364434535433
Speed 29: 34.994194243141905
Speed 30: 34.6173420100516
Speed 31: 34.68618692300328
Speed 32: 34.58271456772463
Speed 33: 34.2436668373315
Speed 34: 34.62066257082074
Speed 35: 35.15332031686974
Speed 36: 35.645979071339674
Speed 37: 36.02943890617027
Speed 38: 36.23075167173529
Speed 39: 35.34280767175438
Speed 40: 36.17743307494286
Speed 41: 36.328427680121635
Speed 42: 36.63250589392196
Speed 43: 37.18998705539566
Speed 44: 37.906663306836656
Speed 45: 38.11586231249125
Speed 46: 38.33363539213908
Speed 47: 38.03402325340922
Speed 48: 38.0505681289786
Speed 49: 37.62348749857142
Speed 50: 37.263517232500476
Speed 51: 36.81673003134338
Speed 52: 36.73871808584474
Speed 53: 37.26326467980474
Speed 54: 38.84875206644983
Speed 55: 38.94350188522379
Speed 56: 38.26929534134573
Speed 57: 38.90178700627386
Speed 58: 38.75139506803584
Speed 59: 38.421090771047346
Speed 60: 38.526015510008875
Speed 61: 37.90570321023076
Speed 62: 38.01693479223506
Speed 63: 37.97274703063548
Speed 64: 38.02193598404322
Speed 65: 38.2126441111478
Speed 66: 38.2463902397682
Speed 67: 38.25455928182465
Speed 68: 38.39671654132362
Speed 69: 38.60441685440918
Speed 70: 38.08867562425155
Speed 71: 37.37367999490883
Speed 72: 37.34286096882272
Speed 73: 36.62649322385567
Speed 74: 36.670258959316506
Speed 75: 37.13963239715766
Speed 76: 37.443188233115684
Speed 77: 36.919103029702946
Speed 78: 36.48897180372418
Speed 79: 36.65312245122456
Speed 80: 36.45247354865781
Speed 81: 36.294145901131756
Speed 82: 36.592599141755734
Speed 83: 36.09895579502691
Speed 84: 35.89833844007132
Speed 85: 35.49829720202902
Speed 86: 34.976732453011344
Speed 87: 34.54819335867576
Speed 88: 34.88692444334897
Speed 89: 34.912834638090175
Speed 90: 34.473254323672634
Speed 91: 34.35770351987614
Speed 92: 33.53829986631505
Speed 93: 33.171643462523214
Speed 94: 34.246430729956856
Speed 95: 34.20130880512398
Speed 96: 34.56713826863918
Speed 97: 34.534394081066935
Speed 98: 34.70847869868784
Speed 99: 35.04010774352743
Speed 100: 34.48779944476419
Speed 101: 34.47233131612721
Speed 102: 35.26176391333546
Speed 103: 34.86401363830881
Speed 104: 34.5807937114427
Speed 105: 34.4269480727592
Speed 106: 34.56146010934732
Speed 107: 34.823919041170264
Speed 108: 35.45762486857959
Speed 109: 35.70737398531392
Speed 110: 35.67634742241476
Speed 111: 36.305930987220165
Speed 112: 36.65798649829096
Speed 113: 35.91014674016245
Speed 114: 37.17333086034045
Speed 115: 38.05829155443882
Speed 116: 37.97418444305528
Speed 117: 38.16313949392452
Speed 118: 38.82531886892244
Speed 119: 38.739218472573995
Speed 120: 39.1043943677625
Speed 121: 39.65668360454824
Speed 122: 39.14927065068102
Speed 123: 38.848104723889584
Speed 124: 39.308808922794874
Speed 125: 39.53921616136929
Speed 126: 40.00111444152626
Speed 127: 39.934830434199405
Speed 128: 39.79032782872229
Speed 129: 38.7910080909306
Speed 130: 38.21800787767688
Speed 131: 38.24154092500613
Speed 132: 38.65381953478825
Speed 133: 38.9194087180561
Speed 134: 38.855287731042246
Speed 135: 38.7194019477969
Speed 136: 38.827991764116035
Speed 137: 38.867097354662114
Speed 138: 39.56937011213197
Speed 139: 39.642590497371096
Speed 140: 38.90196751627245
Speed 141: 38.26568844875629
Speed 142: 39.025068117238085
Speed 143: 38.43948788651304
Speed 144: 38.821736613029806
Speed 145: 38.687550245425115
Speed 146: 38.60267109847387
Speed 147: 38.53560470708966
Speed 148: 39.14629718681926
Speed 149: 39.04987627254728
Speed 150: 39.0332166311247
Speed 151: 38.26781488242496
Speed 152: 38.37116013827896
Speed 153: 38.636681391767986
Speed 154: 38.75625418209488
Speed 155: 39.45520231263824
Speed 156: 39.482787990028356
Speed 157: 39.632276718087866
Speed 158: 40.45652872322196
Speed 159: 39.68152162854288
Speed 160: 39.453608954643194
Speed 161: 40.166688330652825
Speed 162: 40.634752904808366
Speed 163: 40.9739429542286
Speed 164: 41.39026832396084
Speed 165: 41.55380142852135
Speed 166: 42.36960014228749
Speed 167: 42.55847972715285
Speed 168: 42.678413280100486
Speed 169: 42.75789261716331
Speed 170: 42.8543245949385
Speed 171: 42.275815954530565
Speed 172: 42.66115248176224
Speed 173: 42.59593261487057
Speed 174: 43.506890163800776
Speed 175: 43.46906492850656
Speed 176: 43.67952407059439
Speed 177: 43.80282516372505
Speed 178: 43.49004664617043
Speed 179: 43.98611506042968
Speed 180: 44.93864688070969
Speed 181: 44.931258270879766
Speed 182: 44.78101887808705
Speed 183: 44.60350451255937
Speed 184: 43.6573235659007
Speed 185: 43.568416994049194
Speed 186: 43.69391605205335
Speed 187: 44.221295014643495
Speed 188: 44.701318885218456
Speed 189: 44.49306934400011
Speed 190: 44.354657846613165
Speed 191: 44.916610499420386
Speed 192: 44.82987855088395
Speed 193: 44.57486378100614
Speed 194: 45.271123005723275
Speed 195: 45.78991583924859
Speed 196: 45.799311735135724
Speed 197: 45.50242301124639
Speed 198: 44.49648285162404
Speed 199: 44.7913346544114
Speed 200: 44.34314979313531
Speed 201: 43.361783788564935
Speed 202: 44.15419405223945
Speed 203: 44.47817794774439
Speed 204: 43.90867385118591
Speed 205: 43.30147315970628
Speed 206: 43.73695405079209
Speed 207: 43.297968742524155
Speed 208: 43.9460436762881
Speed 209: 44.25427333260118
Speed 210: 44.52257159288459
Speed 211: 44.72491932069174
Speed 212: 44.82064475670369
Speed 213: 45.26090035629225
Speed 214: 45.03386017503444
Speed 215: 45.076836161751636
Speed 216: 45.452809455590234
Speed 217: 45.734304314883296
Speed 218: 45.13681091224897
Speed 219: 44.886606078596834
Speed 220: 45.01300783130641
Speed 221: 44.80900047678646
Speed 222: 45.696329757273126
Speed 223: 45.49975315989607
Speed 224: 45.41864393610773
Speed 225: 45.80335902519638
Speed 226: 45.968625396813835
Speed 227: 45.89598816821145
Speed 228: 45.517741403771076
Speed 229: 45.66849843246946
Speed 230: 46.188046652658656
Speed 231: 46.42759426470777
Speed 232: 46.03850250397971
Speed 233: 46.906889982468066
Speed 234: 46.18360103745012
Speed 235: 45.392258216548726
Speed 236: 45.87253682877734
Speed 237: 45.98545706807869
Speed 238: 45.71070779492667
Speed 239: 45.161422431149006
Speed 240: 46.321822350789155
Speed 241: 46.38036778686688
Speed 242: 46.647468372289765
Speed 243: 46.80641092090885
Speed 244: 47.02381489977443
Speed 245: 47.293862130036835
Speed 246: 47.660074134914275
Speed 247: 47.47246293453394
Speed 248: 47.32664194135801
Speed 249: 46.45613053717856
Speed 250: 46.06597833392779
Speed 251: 46.201534732151146
Speed 252: 46.72404641990249
Speed 253: 47.02356618309059
Speed 254: 46.85322001115162
Speed 255: 46.221633555109044
Speed 256: 44.832953982395324
Speed 257: 45.40882096978572
Speed 258: 45.11420647653065
Speed 259: 44.88997397342862
Speed 260: 44.95576095738265
Speed 261: 44.25298093368671
