Lane: 1
Distance: -61.868589959640374
Speed 0: 25.566396791122205
Speed 1: 25.28526937653968
Speed 2: 26.53101247763851
Speed 3: 27.036940059403687
Speed 4: 26.89632108968723
Speed 5: 26.904674343488672
Speed 6: 27.481634178061743
Speed 7: 27.181176659853385
Speed 8: 27.247645293404588
Speed 9: 26.162658079736293
Speed 10: 25.60437864148874
Speed 11: 25.319694638660593
Speed 12: 25.637827988713852
Speed 13: 25.25400337389285
Speed 14: 25.563243115557142
Speed 15: 25.654823725634984
Speed 16: 26.584499362132107
Speed 17: 26.046742044669845
Speed 18: 25.03713218924755
Speed 19: 23.818399960364623
Speed 20: 23.744118205421728
Speed 21: 24.31969393622722
Speed 22: 24.412355627926413
Speed 23: 24.741586091012287
Speed 24: 24.7168180400647
Speed 25: 24.8355174648259
Speed 26: 24.079727303255133
Speed 27: 25.04591246958718
Speed 28: 25.287123486598105
Speed 29: 24.629231962105887
Speed 30: 23.64742443077412
Speed 31: 23.913958522695896
Speed 32: 23.859296914206137
Speed 33: 23.717705204479053
Speed 34: 24.434577127183744
Speed 35: 24.150268507008978
Speed 36: 23.72534527550237
Speed 37: 24.087568523887903
Speed 38: 24.390517697876025
Speed 39: 23.745388457429762
Speed 40: 24.14010501066317
Speed 41: 25.120561882820404
Speed 42: 24.952791978348372
Speed 43: 24.648985885679483
Speed 44: 24.285364945160563
Speed 45: 24.711069280746752
Speed 46: 25.155277570839136
Speed 47: 24.599615915133267
Speed 48: 25.168538097659045
Speed 49: 25.80631273736431
Speed 50: 25.953612443247994
Speed 51: 24.860772680017362
Speed 52: 25.2569614065148
Speed 53: 24.444440695099004
Speed 54: 24.814356054023065
Speed 55: 25.321490607849153
Speed 56: 25.80059465798876
Speed 57: 24.492909195108695
Speed 58: 24.128843781232035
Speed 59: 24.50009301482703
Speed 60: 24.4590210347688
Speed 61: 23.696570098286646
Speed 62: 23.477480572544305
Speed 63: 23.47478474310938
Speed 64: 22.618742312090177
Speed 65: 23.47153546333358
Speed 66: 23.87713039471482
Speed 67: 23.951810850891285
Speed 68: 23.584083010135867
Speed 69: 23.427599746469355
Speed 70: 23.100891639296723
Speed 71: 22.60527877079918
Speed 72: 22.679761961148476
Speed 73: 23.23142376159605
Speed 74: 23.13639936230532
Speed 75: 22.930267421973465
Speed 76: 23.019577521386434
Speed 77: 23.410418097874878
Speed 78: 23.14809789659212
Speed 79: 22.457549547638084
Speed 80: 22.930287639408174
Speed 81: 22.249442099435303
Speed 82: 22.516935915161934
Speed 83: 22.468956266458004
Speed 84: 22.02075282466198
Speed 85: 22.714343542548935
Speed 86: 23.213040073284986
Speed 87: 23.501273891979576
Speed 88: 23.721274311222437
Speed 89: 23.959009363463355
Speed 90: 23.467220695576067
Speed 91: 23.186223839659743
Speed 92: 22.365722229944957
Speed 93: 22.511863598466146
Speed 94: 23.228416044000184
Speed 95: 23.036560393268935
Speed 96: 23.1553066894296
Speed 97: 22.888929106134107
Speed 98: 22.653339184712525
Speed 99: 22.483296920120807
Speed 100: 21.75169408808982
Speed 101: 22.32099321594359
Speed 102: 22.31848080107977
Speed 103: 22.804274649679165
Speed 104: 22.95544526151799
Speed 105: 22.552327408388535
Speed 106: 22.393871434429343
Speed 107: 21.600438833061126
Speed 108: 21.994782375105405
Speed 109: 22.063394762233585
Speed 110: 21.670804499620132
Speed 111: 20.91751939431047
Speed 112: 20.629314476034843
Speed 113: 20.075670265020797
Speed 114: 20.143311530759878
Speed 115: 19.616922722710374
Speed 116: 20.64306943520396
Speed 117: 21.13572389491696
Speed 118: 20.949303835949678
Speed 119: 20.20618593461335
Speed 120: 20.150355246142663
Speed 121: 19.170547568526086
Speed 122: 19.700898192728978
Speed 123: 20.096547166548298
Speed 124: 20.82086953884671
Speed 125: 20.542542284414136
Speed 126: 20.945324459117877
Speed 127: 21.637344933835458
Speed 128: 21.41951258571446
Speed 129: 21.052591669574397
Speed 130: 21.726648264144153
Speed 131: 21.79938647734659
Speed 132: 22.0120354198011
Speed 133: 21.96801550880512
Speed 134: 21.343778771861118
Speed 135: 21.896077382755966
Speed 136: 20.88138442128849
Speed 137: 21.380372380532897
Speed 138: 21.2407531462921
Speed 139: 21.1469369205259
Speed 140: 20.880666523245463
Speed 141: 21.144091744603674
Speed 142: 21.348464254055397
Speed 143: 22.154213499642918
Speed 144: 22.062177379935804
Speed 145: 21.971146824455264
Speed 146: 21.794249234059368
Speed 147: 21.84621478695214
Speed 148: 21.621724522252975
Speed 149: 22.19935771461063
Speed 150: 22.884557785725686
Speed 151: 21.92336472931244
Speed 152: 21.278934369965494
Speed 153: 20.769542603225815
Speed 154: 21.100350768639277
Speed 155: 20.654331503181645
Speed 156: 20.930276199144796
Speed 157: 21.61594118327025
Speed 158: 22.00138390292231
Speed 159: 21.478974776002676
Speed 160: 20.879022544365757
Speed 161: 19.544991870082722
Speed 162: 19.789997907602935
Speed 163: 19.16247841995449
Speed 164: 19.183675602358544
Speed 165: 19.299069695690708
Speed 166: 18.64418249216056
Speed 167: 19.115878860238137
Speed 168: 18.597895527299677
Speed 169: 18.300817546810173
Speed 170: 17.709679692597717
Speed 171: 17.73419951549272
Speed 172: 17.401877679337783
Speed 173: 18.536907075565185
Speed 174: 18.215110045569244
Speed 175: 18.30829695654449
Speed 176: 18.16813957723415
Speed 177: 18.611468878199133
Speed 178: 18.613423388558335
Speed 179: 17.88253772687818
Speed 180: 17.981975693142793
Speed 181: 18.201963152567565
Speed 182: 17.56239549963494
Speed 183: 17.04099862671082
Speed 184: 16.713195073071017
Speed 185: 16.84177217732136
Speed 186: 16.663367541047336
Speed 187: 15.53724411181832
Speed 188: 15.157106359414481
Speed 189: 15.724684325420926
Speed 190: 16.041024880554186
Speed 191: 16.367956473543916
Speed 192: 16.33992222453544
Speed 193: 17.426420184424916
Speed 194: 17.39205479595537
Speed 195: 17.276395145882862
Speed 196: 17.04022205533597
Speed 197: 16.840878130050157
Speed 198: 17.23201843484905
Speed 199: 16.190018405226176
Speed 200: 15.597409331553136
Speed 201: 16.297798154293226
Speed 202: 15.90991638652798
Speed 203: 15.346125579453657
Speed 204: 15.262501373340218
Speed 205: 14.888352092801219
Speed 206: 15.034787457430696
Speed 207: 14.43662153999505
Speed 208: 15.186172130340715
Speed 209: 14.530707026948381
Speed 210: 14.488733734425916
Speed 211: 14.51664414248716
Speed 212: 14.63984013066914
Speed 213: 14.609536849626103
Speed 214: 14.606647174931263
Speed 215: 14.57164599205628
Speed 216: 15.224487751041087
Speed 217: 15.161788373235183
Speed 218: 15.643564975719212
Speed 219: 15.277432561653747
Speed 220: 15.276223166015688
Speed 221: 15.211137972968805
Speed 222: 15.71137348280001
Speed 223: 15.418072539140699
Speed 224: 15.072211270878778
Speed 225: 14.994171063700843
