Lane: 1
Distance: 73.00240905900009
Speed 0: 22.960477607643803
Speed 1: 24.0610089943488
Speed 2: 23.654871410301144
Speed 3: 24.189099823666858
Speed 4: 24.615465020516215
Speed 5: 24.596234410372453
Speed 6: 25.25569702820671
Speed 7: 26.03397140998138
Speed 8: 25.828557006726033
Speed 9: 25.577090024748657
Speed 10: 25.498812346617004
Speed 11: 25.75818734619337
Speed 12: 26.293166966230636
Speed 13: 26.483784661431994
Speed 14: 26.467554598738634
Speed 15: 26.057016345852333
Speed 16: 26.25461405574606
Speed 17: 26.50287517403575
Speed 18: 25.44422347581207
Speed 19: 25.672558050816274
Speed 20: 25.862029328658643
Speed 21: 25.489687082304727
Speed 22: 25.570115090314577
Speed 23: 24.82190895809417
Speed 24: 24.24420474854797
Speed 25: 23.62695311762041
Speed 26: 23.564779394345244
Speed 27: 23.537073734811926
Speed 28: 23.72962093216773
Speed 29: 24.524303052415636
Speed 30: 24.760261935414455
Speed 31: 25.066525626499338
Speed 32: 25.61197016047746
Speed 33: 26.086924846439782
Speed 34: 26.22855294640098
Speed 35: 25.892280925359447
Speed 36: 26.090773661177074
Speed 37: 25.80978264777244
Speed 38: 26.0261667029904
Speed 39: 25.79667247907511
Speed 40: 25.411889924048026
Speed 41: 25.67306259747728
Speed 42: 26.43689023933109
Speed 43: 26.993872236149034
Speed 44: 26.708963144974334
Speed 45: 26.569794867455993
Speed 46: 26.291160314457443
Speed 47: 26.0935657379938
Speed 48: 26.59367732053706
Speed 49: 26.79549649043859
Speed 50: 25.797364782397114
Speed 51: 25.742716963194894
Speed 52: 25.90988502055808
Speed 53: 25.688873581582083
Speed 54: 25.847224830633202
Speed 55: 25.601598425808294
Speed 56: 25.436764588778505
Speed 57: 25.92212485010806
Speed 58: 26.04686704359142
Speed 59: 26.230082502143173
Speed 60: 25.846830497306577
Speed 61: 26.439095390076417
Speed 62: 26.57067596510175
Speed 63: 25.651919549767413
Speed 64: 25.567019960483467
Speed 65: 23.929435256042495
Speed 66: 24.51651855926884
Speed 67: 24.69521152416908
Speed 68: 24.7700925263945
Speed 69: 25.283104157863008
Speed 70: 24.31664564751662
Speed 71: 24.71675190019126
Speed 72: 23.7140948338478
Speed 73: 23.58554992281596
Speed 74: 23.896678649228143
Speed 75: 24.31625427820778
Speed 76: 24.62732165850306
Speed 77: 23.91479286164928
Speed 78: 24.021154361466344
Speed 79: 24.13610072806102
Speed 80: 23.233618511967133
Speed 81: 22.83265634353944
Speed 82: 22.746488462222132
Speed 83: 21.728942465655788
Speed 84: 21.46570239284753
Speed 85: 22.238474208590002
Speed 86: 22.622226877527275
Speed 87: 21.905344201378472
Speed 88: 22.1401102014158
Speed 89: 21.732518016693163
Speed 90: 22.190277429835813
Speed 91: 22.70509134123345
Speed 92: 22.503356526781317
Speed 93: 22.271538634094984
Speed 94: 22.20230281301601
Speed 95: 22.196341389861555
Speed 96: 22.23287774508126
Speed 97: 22.60230772312845
Speed 98: 22.299145618126808
Speed 99: 22.371788086054
Speed 100: 22.409801107501227
Speed 101: 22.9874665886128
Speed 102: 24.06634773997228
Speed 103: 23.356810513485705
Speed 104: 23.74187022311703
Speed 105: 24.175915716129634
Speed 106: 24.03021429719702
Speed 107: 24.470351516495086
Speed 108: 24.66167563666875
Speed 109: 24.466913007283903
Speed 110: 24.369663048972303
Speed 111: 24.168086383165843
Speed 112: 23.86378579753361
Speed 113: 23.16853811985603
Speed 114: 23.15557339311246
Speed 115: 23.696905960393465
Speed 116: 24.044444110921752
Speed 117: 24.546107214621813
Speed 118: 25.015272524296915
Speed 119: 25.805486957275313
Speed 120: 26.03234821731452
Speed 121: 26.184550592312753
Speed 122: 26.6057531596337
Speed 123: 26.650411239798498
Speed 124: 26.98071810923049
Speed 125: 26.83254110662257
Speed 126: 27.86287004717999
Speed 127: 28.656734754040865
Speed 128: 28.81581150480469
Speed 129: 27.695735673342092
Speed 130: 28.2745456604994
Speed 131: 28.17491692209918
Speed 132: 28.262181391678666
Speed 133: 28.43546418424827
Speed 134: 28.55585048694026
Speed 135: 27.7789536172718
Speed 136: 28.13475742345022
Speed 137: 28.328021873516704
Speed 138: 28.61237553989223
Speed 139: 28.665584795172187
Speed 140: 29.285076959972802
Speed 141: 29.325189091256007
Speed 142: 29.684145476739
Speed 143: 29.992897315151392
Speed 144: 31.1230252033833
Speed 145: 30.6482136456439
Speed 146: 30.615110790783213
Speed 147: 30.803482605778036
Speed 148: 31.113196140130288
Speed 149: 30.97305220926914
Speed 150: 31.45085896236535
Speed 151: 31.241657407663006
Speed 152: 32.424416112303724
Speed 153: 32.40346149487818
Speed 154: 32.495494161637154
Speed 155: 32.673075380218016
Speed 156: 33.297317151519685
Speed 157: 32.891892940393106
Speed 158: 32.039904009091686
Speed 159: 32.65742292517195
Speed 160: 32.3132775893094
Speed 161: 31.92588998510127
Speed 162: 32.09396904184677
Speed 163: 31.98644875418714
Speed 164: 32.748335815528435
Speed 165: 32.207374391028026
Speed 166: 31.46320873875602
Speed 167: 31.26765261131493
Speed 168: 30.882221505385246
Speed 169: 30.799133781104953
Speed 170: 30.15871473160674
Speed 171: 30.294666746868756
Speed 172: 30.302410914413908
Speed 173: 30.386164158528178
Speed 174: 31.165602692603798
Speed 175: 30.63559271779888
Speed 176: 30.440259494735216
Speed 177: 30.843905789356555
Speed 178: 29.75101364817293
Speed 179: 29.16292329548527
Speed 180: 30.024418449096927
Speed 181: 29.827994614623734
Speed 182: 29.98615242690249
Speed 183: 30.56970474280812
Speed 184: 29.528376577500847
Speed 185: 29.77486826757143
Speed 186: 29.29285227081449
Speed 187: 29.099948782562617
Speed 188: 29.775860802611998
Speed 189: 29.136662111410146
Speed 190: 28.472902460433634
Speed 191: 28.264889015695715
Speed 192: 28.43684220737223
Speed 193: 28.521436746393622
Speed 194: 29.175920581239048
Speed 195: 29.062916476294333
Speed 196: 29.170152293748053
Speed 197: 28.979006551911706
Speed 198: 28.740620817841464
Speed 199: 27.346705832391628
Speed 200: 27.775521719361848
Speed 201: 27.329449466722785
Speed 202: 26.84603342267685
Speed 203: 26.808062250520138
Speed 204: 26.831997471777758
Speed 205: 26.71915373397648
Speed 206: 27.14452501031205
Speed 207: 26.826757663548744
Speed 208: 27.059526781701496
Speed 209: 26.718791253736676
Speed 210: 27.119442441388575
Speed 211: 27.98086945312956
Speed 212: 28.43454574485511
Speed 213: 27.73163122581864
Speed 214: 27.990617206662147
Speed 215: 27.927926200178334
Speed 216: 28.350502177804415
Speed 217: 28.035335793183684
Speed 218: 28.610547288278028
Speed 219: 28.742323312389093
Speed 220: 27.840437276307913
Speed 221: 29.035812193030225
Speed 222: 28.961006573527307
Speed 223: 28.586013152067583
Speed 224: 28.419038052676125
Speed 225: 27.14775971034384
Speed 226: 27.152884106800055
Speed 227: 26.403114028819594
Speed 228: 25.48952846835901
Speed 229: 25.2725867066413
Speed 230: 26.184328079702617
Speed 231: 26.159673736741357
Speed 232: 25.302135848367392
Speed 233: 25.280444250848216
Speed 234: 25.615747158188658
Speed 235: 25.733391997196893
Speed 236: 25.602094379545985
Speed 237: 25.482518994324245
Speed 238: 25.795479001469975
Speed 239: 26.060701240378492
Speed 240: 25.08903912589096
Speed 241: 25.02823769088738
Speed 242: 25.774148432182123
Speed 243: 26.152841410342756
Speed 244: 25.93239445100704
Speed 245: 26.034754394924985
Speed 246: 26.234377353094196
Speed 247: 26.952537814933837
Speed 248: 27.154921922748308
Speed 249: 26.515670797551856
Speed 250: 27.23119425490089
Speed 251: 26.805296727015488
Speed 252: 26.515627315605347
Speed 253: 26.577973194670694
Speed 254: 26.866023449820407
Speed 255: 27.358677316806347
Speed 256: 26.73809760495496
Speed 257: 25.979164086669726
Speed 258: 26.776906704172337
Speed 259: 27.613934850795403
Speed 260: 28.87588080071598
Speed 261: 28.58395661789462
Speed 262: 28.613096417066508
Speed 263: 28.40040756343125
Speed 264: 29.013171577657594
Speed 265: 27.699036801178476
Speed 266: 27.414078187050798
Speed 267: 27.384338789553766
Speed 268: 27.64648996882594
Speed 269: 27.17511393832025
Speed 270: 27.83776668589092
Speed 271: 28.12241200738192
Speed 272: 27.648317006293826
Speed 273: 28.776033640008745
Speed 274: 28.047456374294207
Speed 275: 27.77626123188537
Speed 276: 28.339991861153173
Speed 277: 29.673639872692565
Speed 278: 28.217981989023933
Speed 279: 28.315918425700257
Speed 280: 28.090437440646042
Speed 281: 29.14879609245573
Speed 282: 28.54981289252583
Speed 283: 28.387485168687245
Speed 284: 28.651665864779083
Speed 285: 28.96715944326287
Speed 286: 29.918831310222327
Speed 287: 30.27979400101167
Speed 288: 30.313758780110376
Speed 289: 30.01872658919538
Speed 290: 29.92241842389723
Speed 291: 30.190060941706612
Speed 292: 30.47499100260005
Speed 293: 30.962496787146954
Speed 294: 31.90004943852082
Speed 295: 30.918555949832864
Speed 296: 31.621316398069986
Speed 297: 31.86349965027891
Speed 298: 31.3458655381749
Speed 299: 31.345711913515878
Speed 300: 31.253451429281633
Speed 301: 30.77158131908756
Speed 302: 29.82237938176598
Speed 303: 29.440434010210566
Speed 304: 29.506509387024945
Speed 305: 29.074824031872044
Speed 306: 28.695542941858967
Speed 307: 28.857322604553396
Speed 308: 29.116401659191
Speed 309: 29.323363781602055
Speed 310: 29.13123075702768
Speed 311: 29.816514011357725
Speed 312: 29.800563301524274
Speed 313: 29.397714375539824
Speed 314: 30.072102073823096
Speed 315: 30.855861373295276
Speed 316: 31.6571802554478
Speed 317: 31.482809345256012
Speed 318: 32.0393987636052
Speed 319: 31.8232912252333
Speed 320: 31.460119955046753
Speed 321: 31.2693273610667
Speed 322: 30.445967671499048
Speed 323: 31.189758860933228
Speed 324: 30.862024349713735
Speed 325: 30.62341560837103
Speed 326: 30.883864988013404
Speed 327: 30.564247887288857
Speed 328: 30.43387538671761
Speed 329: 29.707271890257903
Speed 330: 29.161406179631573
Speed 331: 30.0615110340966
Speed 332: 30.30812470594734
Speed 333: 29.901941729363095
Speed 334: 30.225748305917357
Speed 335: 30.617913276757122
Speed 336: 30.769658595921452
Speed 337: 30.56071826198101
Speed 338: 30.520241802887792
Speed 339: 30.431646648730226
Speed 340: 30.616336706208696
Speed 341: 30.180855888661522
Speed 342: 30.81235326633383
Speed 343: 31.031549607363402
Speed 344: 31.523984638925096
Speed 345: 31.156852148253247
Speed 346: 30.947776003950807
Speed 347: 31.18250287837679
Speed 348: 30.897955550945213
Speed 349: 30.40007947587366
Speed 350: 30.52177510549802
Speed 351: 30.145404961176112
Speed 352: 29.350085208194283
Speed 353: 29.87773983831732
Speed 354: 30.275500722371596
Speed 355: 30.463697605369124
Speed 356: 31.612812789283844
Speed 357: 31.57577546667453
Speed 358: 31.212924297415032
Speed 359: 30.84045791702984
Speed 360: 30.038331218122877
Speed 361: 29.98111047011169
Speed 362: 29.656380030375445
Speed 363: 29.632616804123213
Speed 364: 30.745270533782037
Speed 365: 30.55699771014303
Speed 366: 31.150983853326803
Speed 367: 30.901203417309535
Speed 368: 31.108139241381302
Speed 369: 30.749837581987787
Speed 370: 30.13125055673524
Speed 371: 30.09666804018681
Speed 372: 29.909187505068086
Speed 373: 29.907757539569126
Speed 374: 30.321797978221433
Speed 375: 30.310995809396644
Speed 376: 29.629858983974994
Speed 377: 29.8217866756717
Speed 378: 29.46042268692521
Speed 379: 29.532880420965938
Speed 380: 29.153051485643974
Speed 381: 28.80488063334166
Speed 382: 29.38579318479298
Speed 383: 28.580831747552217
Speed 384: 29.06812782106236
Speed 385: 28.52096537268962
Speed 386: 27.90254737856609
Speed 387: 28.514506834740256
Speed 388: 29.285650086981544
Speed 389: 30.207849465585937
Speed 390: 30.849934393119064
Speed 391: 31.805388263042406
Speed 392: 32.087984884265786
Speed 393: 32.328863729631465
Speed 394: 32.28974244679719
Speed 395: 32.10874043436323
Speed 396: 31.947870594364044
Speed 397: 31.80812983545142
Speed 398: 31.834634741652714
Speed 399: 32.051632200987775
Speed 400: 32.24549905366499
Speed 401: 31.703921817466842
Speed 402: 32.51362246950338
Speed 403: 32.843375905988836
Speed 404: 33.071091711350604
Speed 405: 33.80913633221241
Speed 406: 33.26686890558075
Speed 407: 32.79949285492611
Speed 408: 33.55264725184972
Speed 409: 33.54251056442588
Speed 410: 33.27225506400069
Speed 411: 33.654186524635044
Speed 412: 33.545075849617255
Speed 413: 33.82583523873618
Speed 414: 33.95500698316075
Speed 415: 34.271729059978206
Speed 416: 33.70474230144473
Speed 417: 34.00365030312516
Speed 418: 33.648004744676854
Speed 419: 33.61233627295734
Speed 420: 33.401966118649966
Speed 421: 33.90823567837472
Speed 422: 33.540620791990655
Speed 423: 33.41474789722319
Speed 424: 33.53831068750141
Speed 425: 34.16631281181687
Speed 426: 34.80900250546437
Speed 427: 35.40749221745167
Speed 428: 35.95014183846626
Speed 429: 35.83532052407175
Speed 430: 36.09288389060399
Speed 431: 37.109486620458725
Speed 432: 36.536940168728464
Speed 433: 35.108188943481224
Speed 434: 35.06381260350868
Speed 435: 35.105759303184506
Speed 436: 35.16034289197061
Speed 437: 34.16180052089065
Speed 438: 34.2120254179724
Speed 439: 34.55830534358769
Speed 440: 34.79271913902339
Speed 441: 35.03407961400566
Speed 442: 34.92495204696018
Speed 443: 34.031723241406155
Speed 444: 33.64951514100776
Speed 445: 33.14198594191785
Speed 446: 33.30304343504838
Speed 447: 33.457532626117526
Speed 448: 33.90963374832972
Speed 449: 34.27022050859459
Speed 450: 34.449862893282734
Speed 451: 33.92617285967242
Speed 452: 33.40223027890201
Speed 453: 33.43991663227378
Speed 454: 33.38125218280193
Speed 455: 33.55356759313059
Speed 456: 33.895420559823826
Speed 457: 34.77639590996643
Speed 458: 34.59475516367758
Speed 459: 33.86843593019773
Speed 460: 33.45473987178588
Speed 461: 33.412413381441
Speed 462: 33.66324509331425
Speed 463: 33.81197709404309
Speed 464: 34.33157023191478
Speed 465: 33.726104468021475
Speed 466: 32.968392878047275
Speed 467: 32.763664876751825
Speed 468: 32.995724586672004
Speed 469: 32.63089598803268
Speed 470: 32.59519638524357
Speed 471: 32.28915125172228
Speed 472: 32.08542503124239
Speed 473: 32.72555169572213
Speed 474: 32.258662690568215
Speed 475: 31.891479793219073
Speed 476: 30.78969519917481
Speed 477: 31.991387274117102
Speed 478: 31.686955169319692
Speed 479: 31.64204124931
Speed 480: 31.73684588635959
Speed 481: 31.839622093546897
Speed 482: 32.63255742155878
Speed 483: 32.50108080232132
Speed 484: 32.55450265922866
Speed 485: 32.998816455688115
Speed 486: 33.23268116479236
Speed 487: 33.371974083097484
Speed 488: 34.15085076076138
Speed 489: 34.1469054794408
Speed 490: 33.86953679807022
Speed 491: 34.09460674710445
Speed 492: 33.26072323497626
Speed 493: 32.33582832452841
Speed 494: 33.03388689415764
Speed 495: 32.661360030871904
Speed 496: 33.285392824581315
Speed 497: 33.59063055814265
Speed 498: 32.94114734533058
Speed 499: 32.800705371272976
Speed 500: 32.49742290441029
Speed 501: 32.13658747957539
Speed 502: 32.05210469178253
Speed 503: 32.10052722690416
Speed 504: 31.65960503480455
Speed 505: 31.936947216346574
Speed 506: 32.084037336811065
Speed 507: 31.959973301676477
Speed 508: 32.40529468227138
Speed 509: 31.966382547217076
Speed 510: 32.09957272333415
Speed 511: 31.986851139111504
Speed 512: 31.792955376253257
Speed 513: 31.40240841912449
Speed 514: 31.57389369473543
Speed 515: 31.983015635104497
Speed 516: 31.584984232771504
Speed 517: 31.649355908475798
Speed 518: 31.516034024509615
Speed 519: 32.420175226736895
Speed 520: 31.95244697457187
Speed 521: 31.700241131739666
Speed 522: 31.360508677005694
Speed 523: 31.744787027578397
Speed 524: 32.51047098482354
Speed 525: 32.84449091617396
Speed 526: 32.60580887887835
Speed 527: 32.76678645520336
Speed 528: 32.80010220930284
Speed 529: 32.95411632965047
Speed 530: 33.32931632861252
Speed 531: 33.72531200091171
Speed 532: 33.32716323787636
Speed 533: 33.434116526638526
Speed 534: 33.697406322373276
Speed 535: 34.075885599494335
Speed 536: 34.405974047561024
Speed 537: 34.165548624743856
Speed 538: 35.29041918090126
Speed 539: 35.68146165173621
Speed 540: 35.70268870154967
Speed 541: 36.0409355040761
Speed 542: 34.99807014715116
Speed 543: 35.64058665876213
Speed 544: 36.57426579749817
Speed 545: 37.06329105822539
Speed 546: 38.24377825764494
Speed 547: 38.252286292652016
Speed 548: 38.0032529131002
Speed 549: 37.91968774954273
Speed 550: 37.86955710333854
Speed 551: 37.49486652747707
Speed 552: 38.411127753048206
Speed 553: 37.99582619956213
Speed 554: 37.54195760559079
Speed 555: 37.594853167586365
Speed 556: 38.02752194894646
Speed 557: 38.071627934732305
Speed 558: 37.23213692742408
Speed 559: 37.648718234658
Speed 560: 37.520919570224045
Speed 561: 37.22433754444367
Speed 562: 36.982721352556396
Speed 563: 36.9103495850403
Speed 564: 37.00917029806988
Speed 565: 37.00900609115388
Speed 566: 36.94165862508529
Speed 567: 37.12869105447354
Speed 568: 37.370470103442415
Speed 569: 36.88577657163583
Speed 570: 36.24416594629296
Speed 571: 36.26701441610047
Speed 572: 35.6539148051059
Speed 573: 35.647217000195425
Speed 574: 36.297310102088446
Speed 575: 36.25661609939134
Speed 576: 36.914096492841466
Speed 577: 36.482638781161754
Speed 578: 36.30731888246368
Speed 579: 36.05690167679978
Speed 580: 36.58053975019566
Speed 581: 36.859772894093254
Speed 582: 37.32839007724456
Speed 583: 37.04723841490271
Speed 584: 37.00993714895989
Speed 585: 37.288292597933385
Speed 586: 38.150080590569715
Speed 587: 38.364538836050066
Speed 588: 38.34881579166322
Speed 589: 37.961540335962354
Speed 590: 38.58217123897146
Speed 591: 39.14680794343683
Speed 592: 38.36207854645887
Speed 593: 38.433911752558906
Speed 594: 37.83522668248898
Speed 595: 38.81358866085295
Speed 596: 39.16874388683836
Speed 597: 39.37873504455958
Speed 598: 39.84167654433304
Speed 599: 39.64839935443021
Speed 600: 39.69200144151732
Speed 601: 39.20074689484503
Speed 602: 39.191399544800625
Speed 603: 39.5445565280395
Speed 604: 40.57996548074737
Speed 605: 39.356711036805365
Speed 606: 40.18040385133237
Speed 607: 40.28016700120365
Speed 608: 40.41824463305719
Speed 609: 40.2771588876027
Speed 610: 40.454437232072536
Speed 611: 39.30139674149274
Speed 612: 39.22170449455607
Speed 613: 38.640646873601874
Speed 614: 38.10824974035033
Speed 615: 38.48697523861934
Speed 616: 37.7258274566301
Speed 617: 37.374695031783354
Speed 618: 37.414752032180694
Speed 619: 36.88370232878102
Speed 620: 36.21104476806111
Speed 621: 36.28393960439052
Speed 622: 35.792672861340556
Speed 623: 35.44000253537258
Speed 624: 35.64835970868001
Speed 625: 35.608971207994166
Speed 626: 34.79313836427021
Speed 627: 35.304250423289425
Speed 628: 34.90389826779876
Speed 629: 36.14949352931444
Speed 630: 36.37487804202323
Speed 631: 35.93310001421458
Speed 632: 36.21603388550004
Speed 633: 35.388207572853524
Speed 634: 35.49395221257167
Speed 635: 36.063072902705784
Speed 636: 35.70161327882337
Speed 637: 36.035357243763244
Speed 638: 36.817794985705525
Speed 639: 36.99054551868545
Speed 640: 38.20043741416621
Speed 641: 38.038764781206154
Speed 642: 38.00566208288844
Speed 643: 38.564158605722454
Speed 644: 39.6806062410288
Speed 645: 39.20498918045508
Speed 646: 39.61616610772653
Speed 647: 40.47241250599797
Speed 648: 40.310840685184466
Speed 649: 40.35107641683363
Speed 650: 40.943676093180855
Speed 651: 40.200314471332284
Speed 652: 40.578876636754124
Speed 653: 40.451876018111
Speed 654: 38.91551649118451
Speed 655: 39.129005664759255
Speed 656: 38.92845572175095
Speed 657: 38.40989766910638
Speed 658: 38.38212205314261
Speed 659: 38.956123506529806
Speed 660: 40.13381663562464
Speed 661: 39.929916127960084
Speed 662: 39.76854565826536
Speed 663: 40.00757898921794
Speed 664: 39.115780887810196
Speed 665: 38.585404830881195
Speed 666: 39.08676731453255
Speed 667: 39.140255653250776
Speed 668: 38.941872230916275
Speed 669: 38.60003730201663
Speed 670: 38.63308056027601
Speed 671: 37.672360824339435
Speed 672: 37.975689565895294
Speed 673: 37.715079320042086
Speed 674: 38.271537592502334
Speed 675: 38.70531403573951
Speed 676: 40.0655434654926
Speed 677: 40.1313348847507
Speed 678: 40.443203464573536
Speed 679: 39.983150695403545
Speed 680: 40.92070324335636
Speed 681: 40.87546955645456
Speed 682: 40.317546413569254
Speed 683: 40.358347968153005
Speed 684: 41.25513374396913
Speed 685: 41.8958252453212
Speed 686: 42.12104102178124
Speed 687: 42.132281025663644
Speed 688: 42.02883545713172
Speed 689: 42.2443416313099
Speed 690: 42.51442165498527
Speed 691: 42.470792360443774
Speed 692: 41.43351349650466
Speed 693: 41.6690353872588
Speed 694: 41.74156966998631
Speed 695: 41.7713086061776
Speed 696: 42.39941745472539
Speed 697: 41.408824564184094
Speed 698: 41.576987955561684
Speed 699: 42.12049342286541
Speed 700: 41.816963750865646
Speed 701: 41.807773678624784
Speed 702: 41.09251235941976
Speed 703: 41.523651880423785
Speed 704: 41.71362389269859
Speed 705: 41.18362369708368
Speed 706: 41.544263945058496
Speed 707: 40.89604957595789
Speed 708: 40.56667397187844
Speed 709: 40.30569287588184
Speed 710: 40.28354530274425
Speed 711: 39.799934534869514
Speed 712: 39.74052495272194
Speed 713: 40.34532574615644
Speed 714: 40.548812815254266
