Lane: 2
Distance: 44.654944057885345
Speed 0: 28.89030684328196
Speed 1: 28.9133743727598
Speed 2: 28.43418713264652
Speed 3: 28.39378132617465
Speed 4: 28.041851808179427
Speed 5: 27.656459657826144
Speed 6: 27.41603698738978
Speed 7: 27.767829764711475
Speed 8: 28.232402338595822
Speed 9: 28.417988614920343
Speed 10: 27.923077340146783
Speed 11: 28.24489297787345
Speed 12: 28.589341311177417
Speed 13: 28.72666491298364
Speed 14: 28.424854694974094
Speed 15: 28.779284482657665
Speed 16: 28.990693769995996
Speed 17: 27.432265474196434
Speed 18: 27.754491490901955
Speed 19: 26.7976201554712
Speed 20: 27.129400943766893
Speed 21: 27.052364744554474
Speed 22: 27.649170584929074
Speed 23: 27.600089979326107
Speed 24: 27.15678284929805
Speed 25: 27.083106017006628
Speed 26: 27.613009164473514
Speed 27: 27.626132473404308
Speed 28: 27.56896489346812
Speed 29: 27.94074165122229
Speed 30: 28.045921334537194
Speed 31: 28.042957631620578
Speed 32: 28.72598766582224
Speed 33: 29.503544681851775
Speed 34: 29.810207795016126
Speed 35: 29.66722821927354
Speed 36: 30.415683716033953
Speed 37: 31.007243494699807
Speed 38: 31.366692077463952
Speed 39: 30.75865378709102
Speed 40: 30.828989738745
Speed 41: 30.457153651394563
Speed 42: 30.377647525617384
Speed 43: 30.497675990265744
Speed 44: 30.547755694311057
Speed 45: 30.31016814139643
Speed 46: 30.946645015856387
Speed 47: 30.098579382440615
Speed 48: 30.46367114800542
Speed 49: 29.53492951220815
Speed 50: 29.726228580569884
Speed 51: 29.282776417427947
Speed 52: 29.721928296294212
Speed 53: 29.765154558298008
Speed 54: 29.88900774753142
Speed 55: 29.379868084747994
Speed 56: 29.0525830172492
Speed 57: 29.156191713954676
Speed 58: 29.44797667740933
Speed 59: 30.91252479829126
Speed 60: 31.023953959843002
Speed 61: 31.511972722527464
Speed 62: 30.733505756272834
Speed 63: 30.068559825605803
Speed 64: 29.890812438301577
Speed 65: 29.292098590482293
Speed 66: 30.035298217215487
Speed 67: 29.830188870825324
Speed 68: 30.521279815021895
Speed 69: 31.26467105206471
Speed 70: 31.286060912006494
Speed 71: 31.536960788910314
Speed 72: 31.508911052239863
Speed 73: 31.778129552417134
Speed 74: 32.01980047830742
Speed 75: 31.957975665361403
Speed 76: 32.21046065609282
Speed 77: 33.07230879392645
Speed 78: 33.42881690878192
Speed 79: 33.59171671560223
Speed 80: 33.654101476123834
Speed 81: 33.14776491423954
Speed 82: 32.63411647570181
Speed 83: 32.79579474144194
Speed 84: 32.11109917941836
Speed 85: 31.727935379936568
Speed 86: 32.368691050118635
Speed 87: 33.32580589865004
Speed 88: 32.49282786025118
Speed 89: 33.30615264140197
Speed 90: 33.2004334959792
Speed 91: 33.19293095246351
Speed 92: 33.13622513714215
Speed 93: 33.67649720065489
Speed 94: 32.87265891113331
Speed 95: 33.100740716810876
Speed 96: 32.62830561811687
Speed 97: 32.913699882807656
Speed 98: 33.685098051954185
Speed 99: 33.68488938874788
Speed 100: 33.871966931733276
Speed 101: 34.07674282085212
Speed 102: 33.67694607101687
Speed 103: 34.43276574595903
Speed 104: 35.285999869589524
Speed 105: 35.63689155564804
Speed 106: 35.67353427165187
Speed 107: 35.442587363974724
Speed 108: 35.12934225240018
Speed 109: 35.98476054367351
Speed 110: 36.69196806503802
Speed 111: 36.660137320643244
Speed 112: 35.870172055807686
Speed 113: 34.454166120853195
Speed 114: 33.912452790721055
Speed 115: 33.84714259272349
Speed 116: 34.547487109944996
Speed 117: 34.22165900541611
Speed 118: 34.474066733586355
Speed 119: 35.12565721441057
Speed 120: 35.189925372838594
Speed 121: 35.11870143844418
Speed 122: 34.464319681324874
Speed 123: 33.86308202722266
Speed 124: 34.071131844430575
Speed 125: 33.97067807783011
Speed 126: 34.03194373665676
Speed 127: 34.00830487880863
Speed 128: 34.34037690348796
Speed 129: 33.948033197773235
Speed 130: 33.78024287598165
Speed 131: 34.728333990298225
Speed 132: 34.32844092110534
Speed 133: 34.18765320570529
Speed 134: 33.892959854716004
Speed 135: 34.11535053591963
Speed 136: 34.62654669714067
Speed 137: 34.37744088784761
Speed 138: 34.16173371729527
Speed 139: 34.022242914643755
Speed 140: 34.28715980638123
Speed 141: 33.91746215512614
Speed 142: 33.72948217214051
Speed 143: 32.543385236384
Speed 144: 31.852512731636505
Speed 145: 31.79629085362686
Speed 146: 32.24522294022842
Speed 147: 32.39276083187936
Speed 148: 31.843376603545707
Speed 149: 31.143248499481736
Speed 150: 31.23058854593082
Speed 151: 30.4041867248044
Speed 152: 30.937150134162845
Speed 153: 30.969098229987935
Speed 154: 30.165438150370907
Speed 155: 29.68246122094997
Speed 156: 29.32030556133441
Speed 157: 28.933709306222692
Speed 158: 28.188742802111946
Speed 159: 27.751411541117523
Speed 160: 27.40921076304731
Speed 161: 27.05356788524209
Speed 162: 27.61754619770878
Speed 163: 27.669960099122388
Speed 164: 27.173331490403612
Speed 165: 27.006020687426552
Speed 166: 26.56624213877086
Speed 167: 26.416238809264982
Speed 168: 26.853993385835672
Speed 169: 26.980128776141733
Speed 170: 28.122929366905765
Speed 171: 28.310893079789505
Speed 172: 27.85409582480095
Speed 173: 28.258966190208174
Speed 174: 28.798931798779442
Speed 175: 29.346015294501413
Speed 176: 28.798894817983868
Speed 177: 28.725076110726448
Speed 178: 29.290982089140673
Speed 179: 28.448617609703703
Speed 180: 28.198909229192683
Speed 181: 27.485440386479187
Speed 182: 27.019155271530682
Speed 183: 26.51292669515878
Speed 184: 27.138211611430496
Speed 185: 27.02094259397612
Speed 186: 26.589264803305227
Speed 187: 26.07146193761298
Speed 188: 26.142295520048744
Speed 189: 26.136727706378412
Speed 190: 26.808764893715125
Speed 191: 27.058773241643777
Speed 192: 26.342874352611258
Speed 193: 26.028383998815624
Speed 194: 26.563420254851113
Speed 195: 26.252878906000426
Speed 196: 27.12016499346228
Speed 197: 26.571020277799906
Speed 198: 26.857326954320303
Speed 199: 26.42671917762098
Speed 200: 26.171921611147802
Speed 201: 26.721212435263375
Speed 202: 26.657678853844118
Speed 203: 27.06440497640117
Speed 204: 27.30105027385857
Speed 205: 27.677983115639723
Speed 206: 27.233889010096966
Speed 207: 27.123101810994967
Speed 208: 27.335228120045404
Speed 209: 26.910691683698573
Speed 210: 27.725441705314736
Speed 211: 27.336827684237168
Speed 212: 27.18682589576827
Speed 213: 26.68354636337115
Speed 214: 25.611892330751807
Speed 215: 26.51035159203927
Speed 216: 26.408182123587746
Speed 217: 26.184224704379975
Speed 218: 26.084867173544577
Speed 219: 26.794799159642796
Speed 220: 26.312245855610588
Speed 221: 26.652029788493127
Speed 222: 26.44013566421839
Speed 223: 26.141800236449235
Speed 224: 26.425329342709325
Speed 225: 26.919449629580672
Speed 226: 26.662498154440716
Speed 227: 26.27807357460331
Speed 228: 25.6935257009423
Speed 229: 26.245277584306486
Speed 230: 25.957649586903425
Speed 231: 25.0330842232657
Speed 232: 25.73806029246377
Speed 233: 25.0531305414873
Speed 234: 25.44286080711683
Speed 235: 25.53457513045059
Speed 236: 25.67853284655823
Speed 237: 25.38634520890257
Speed 238: 25.569140939014886
Speed 239: 24.735250992572766
Speed 240: 25.029269866942673
Speed 241: 25.807774887708753
Speed 242: 26.249788486421917
Speed 243: 25.240018443728555
Speed 244: 24.74791394259213
Speed 245: 24.654016481604728
Speed 246: 24.897485134074696
Speed 247: 24.84415879724458
Speed 248: 24.597551603689332
Speed 249: 24.895201757535478
Speed 250: 25.477277640647962
Speed 251: 25.361130637054664
Speed 252: 25.725595570747284
Speed 253: 24.436070198152546
Speed 254: 23.96731550509818
Speed 255: 23.806686036569175
Speed 256: 23.56240292619186
Speed 257: 23.728802034894088
Speed 258: 24.23567730864322
Speed 259: 24.489011821657414
