Lane: 1
Distance: -73.56379445336385
Speed 0: 22.36202550365287
Speed 1: 22.526542522046405
Speed 2: 22.652815969532654
Speed 3: 23.617211373240924
Speed 4: 23.200368083695857
Speed 5: 23.686916072065824
Speed 6: 22.80211233198645
Speed 7: 22.79608404619341
Speed 8: 23.266548134243184
Speed 9: 22.756043255570734
Speed 10: 22.56165486636287
Speed 11: 22.40272928699369
Speed 12: 22.509752309767553
Speed 13: 22.619460982475193
Speed 14: 22.292602396866293
Speed 15: 22.31378140390225
Speed 16: 21.976188334722277
Speed 17: 21.757835382759797
Speed 18: 21.487317093931466
Speed 19: 22.092760896091736
Speed 20: 22.466676419298764
Speed 21: 22.564059507575237
Speed 22: 22.12403047960694
Speed 23: 22.42443904983528
Speed 24: 21.972038738119505
Speed 25: 21.41950200098444
Speed 26: 20.761778380376697
Speed 27: 20.637956899802504
Speed 28: 20.385627399120775
Speed 29: 19.781978344059123
Speed 30: 20.137476194082343
Speed 31: 20.831549659944336
Speed 32: 21.628209661566256
Speed 33: 21.264336327506125
Speed 34: 20.92361307961694
Speed 35: 20.343457284024957
Speed 36: 20.113621268337862
Speed 37: 21.623147493541335
Speed 38: 21.282461191055766
Speed 39: 21.636842957842138
Speed 40: 21.76199329377379
Speed 41: 21.90639892784223
Speed 42: 22.395402515570957
Speed 43: 22.26460959519698
Speed 44: 22.65367030163796
Speed 45: 23.69726328862778
Speed 46: 23.913319873775762
Speed 47: 25.212260266806638
Speed 48: 24.78159663530248
Speed 49: 25.75429137075765
Speed 50: 24.994033302529225
Speed 51: 24.864537577276536
Speed 52: 23.89981989343174
Speed 53: 23.958659077664674
Speed 54: 23.569842718429122
Speed 55: 23.42886368540956
Speed 56: 23.60323807188199
Speed 57: 23.629972185015397
Speed 58: 23.911406514989892
Speed 59: 23.743727415031213
Speed 60: 23.719778786512034
Speed 61: 23.542841791075723
Speed 62: 23.33075031991172
Speed 63: 23.717586161410328
Speed 64: 23.958576678045013
Speed 65: 23.45694666617218
Speed 66: 23.527975277134196
Speed 67: 23.776899077829185
Speed 68: 23.883266628016713
Speed 69: 23.70831849254666
Speed 70: 23.716040064382156
Speed 71: 23.624910556230162
Speed 72: 23.51000912779225
Speed 73: 24.08109407001327
Speed 74: 24.28138965443772
Speed 75: 24.132398779607637
Speed 76: 23.970261725863697
Speed 77: 23.420783503266726
Speed 78: 23.17374197782426
Speed 79: 23.15291786405423
Speed 80: 24.36265381285086
Speed 81: 24.65715886092043
Speed 82: 24.42301018614478
Speed 83: 24.380560808280926
Speed 84: 24.257755045284725
Speed 85: 23.81352244345652
Speed 86: 24.223296450605353
Speed 87: 24.147973484711606
Speed 88: 24.854903101069095
Speed 89: 24.4532860192507
Speed 90: 24.23691603810697
Speed 91: 24.290999090653337
Speed 92: 25.28367102469921
Speed 93: 25.054401807543076
Speed 94: 25.60539691858617
Speed 95: 25.161534194057847
Speed 96: 25.101284479370587
Speed 97: 25.215424322143186
Speed 98: 25.105948944004435
Speed 99: 25.12570031390292
Speed 100: 25.222412335949734
Speed 101: 26.36752235901803
Speed 102: 26.764574557924234
Speed 103: 26.647408317925972
Speed 104: 26.561291396972354
Speed 105: 26.797180979961993
Speed 106: 26.357911165822717
Speed 107: 26.392409098417314
Speed 108: 26.91167854064213
Speed 109: 26.95575712123445
Speed 110: 26.32468440131716
Speed 111: 26.098534784148303
Speed 112: 26.29617499656321
Speed 113: 26.197232298634155
Speed 114: 26.016235095656373
Speed 115: 26.421387302736896
Speed 116: 26.432401507932298
Speed 117: 26.629248988396306
Speed 118: 26.970825909792516
Speed 119: 26.987670799504496
Speed 120: 26.597372460426218
Speed 121: 25.61602765859907
Speed 122: 25.880519527844314
Speed 123: 26.491549889736085
Speed 124: 25.28860425709927
Speed 125: 25.64847165029603
